DemonicRef,DemonicSystemId,DemonicID,CaseRef,Demonic_Type,Demonic_Type_Count,Demonic_Text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
DP/JO/505,JO,505,C/EGD/2162,Kisses Devil's bottom,2,,jhm,6/3/2002 15:27,jhm,6/3/2002 15:27
DP/JO/506,JO,506,C/JO/3033,Servant,123,,jhm,6/10/2002 17:32,jhm,6/10/2002 17:32
DP/JO/507,JO,507,C/EGD/2130,Servant,123,,jhm,6/10/2002 18:12,jhm,6/10/2002 18:12
DP/JO/508,JO,508,C/EGD/2130,Devil's Mark,165,on back of right hand,jhm,6/10/2002 18:12,jhm,6/10/2002 18:12
DP/JO/509,JO,509,C/EGD/2130,Want nothing,43,,jhm,6/10/2002 18:13,jhm,6/10/2002 18:13
DP/JO/510,JO,510,C/EGD/2141,Servant,123,,jhm,6/10/2002 21:46,jhm,6/10/2002 21:46
DP/JO/511,JO,511,C/EGD/2141,New name,96,Dame,jhm,6/10/2002 21:46,jhm,6/10/2002 21:46
DP/JO/512,JO,512,C/EGD/2141,Sex,133,,jhm,6/10/2002 21:47,jhm,6/10/2002 21:47
DP/JO/513,JO,513,C/EGD/2141,Want nothing,43,,jhm,6/10/2002 21:47,jhm,6/10/2002 21:47
DP/JO/514,JO,514,C/EGD/2141,Devil's Mark,165,at wrist,jhm,6/10/2002 21:47,jhm,6/10/2002 21:48
DP/JO/515,JO,515,C/JO/3046,Servant,123,,jhm,6/17/2002 16:02,jhm,6/17/2002 16:02
